District,Street,Community,Coordinates,flagC,flagQ
上城,南星,凤凰北苑,"120.187083,30.226367",,
上城,南星,凤凰南苑,"120.184301,30.224597",,
上城,南星,滨江钱塘印象,,,
上城,南星,闻潮尚庭,,,
上城,南星,凤凰城广场,,,
上城,南星,金色海岸,,,
上城,南星,钱江国际商务中心,,,
上城,南星,海运国际大厦,,,
上城,南星,太和广场,,,
上城,南星,秋涛路168号,,,
上城,南星,钱江候潮府,,,
上城,南星,上品华庭,,,
上城,南星,春江名苑,,,
上城,南星,滨江金色家园,,,
上城,南星,赞成林风映水苑,,,
上城,南星,康都紫轩,,,
上城,南星,绿城蓝色钱江,,,
上城,南星,秋涛路178号,,,
上城,南星,望江府,,,
上城,南星,水岸枫庭,,,
上城,南星,钱江御府,,,
上城,南星,赞成林风和风苑,,,
上城,南星,木材新村,,,
上城,南星,赞成林风沁林苑,,,
上城,南星,新绿园,,,
上城,南星,春江花月,,,
上城,南星,金隅学府,,,
上城,南星,秋涛南苑,,,
上城,南星,爱丁堡假日酒店,,,
上城,南星,阳光海岸,,,
上城,闸弄口 ,万家花园万和苑,,,
上城,闸弄口 ,闸弄口铁路宿舍,,,
上城,闸弄口 ,万家花园欣和苑,,,
上城,闸弄口 ,闸弄口新苑,,,
上城,闸弄口 ,红树林花园,,,
上城,闸弄口 ,闸弄口东村,,,
上城,闸弄口 ,机神公寓,,,
上城,闸弄口 ,新安铭苑,,,
上城,闸弄口 ,东茂苑,,,
上城,闸弄口 ,闸弄口农药厂宿舍,,,
上城,闸弄口 ,文晖铭园,,,
上城,闸弄口 ,天城铭园,,,
上城,闸弄口 ,机场路里街,,,
上城,闸弄口 ,天仙新苑,,,
上城,闸弄口 ,天晖铭园,,,
上城,闸弄口 ,紫薇公寓,,,
上城,闸弄口 ,京惠花园,,,
上城,闸弄口 ,濮家新村,,,
上城,闸弄口 ,天运花园,,,
上城,闸弄口 ,闸弄口新村,,,
上城,闸弄口 ,机神新村,,,
上城,闸弄口 ,濮家东村,,,
上城,闸弄口 ,万家花园家和苑,,,
上城,闸弄口 ,万家花园天城苑,,,
上城,闸弄口 ,濮家井40号,,,
上城,闸弄口 ,天运路,,,
上城,闸弄口 ,秋涛北路339号,,,
上城,闸弄口 ,机场路43号,,,
上城,闸弄口 ,机场路24-4号,,,
上城,半山,成功时大大厦,,,
上城,半山,中豪桃源中心,,,
上城,半山,杭钢西苑,,,
上城,半山,万科智谷,,,
上城,半山,水韵康桥康泽苑,,,
上城,半山,半山路,,,
上城,半山,水韵康桥康锦苑,,,
上城,半山,水韵康桥康盛苑,,,
上城,半山,电炉生活区,,,
上城,半山,绿城青亭,,,
上城,半山,杭钢北苑,,,
上城,半山,半山家苑,,,
上城,半山,美麓美座,,,
上城,半山,杭钢南苑,,,
上城,半山,宁和弄,,,
上城,半山,锦上桃源,,,
上城,半山,田园公寓,,,
上城,半山,明园路,,,
上城,半山,平安雅苑,,,
上城,半山,金星桃源居,,,
上城,半山,依锦苑,,,
上城,半山,田园河畔居,,,
上城,半山,阔板桥社区,,,
上城,半山,金昌苑,,,
上城,半山,金典家园,,,
上城,半山,康馨苑,,,
上城,半山,金隅田员外,,,
上城,半山,袁家新院,,,
上城,半山,瓜山佳苑,,,
上城,半山,建工路1号,,,
上城,半山,朗诗田园绿郡,,,
上城,半山,碧桂园金科尚合府,,,
上城,半山,田园牧歌风禾苑,,,
上城,半山,大家运河之星,,,
上城,半山,宋都香悦郡,,,
上城,半山,联发北秀观云,,,
上城,半山,广宇锦绣桃源,,,
上城,半山,广宇万科公园里,,,
上城,半山,联发溪语宸庐,,,
上城,半山,田园牧歌揽翠苑,,,
上城,半山,田园牧歌听泉苑,,,
上城,半山,融创金成臻华府,,,
上城,半山,融创金成臻蓝府,,,
上城,半山,金科碧桂园博翠府,,,
上城,半山,首开望宸,,,
上城,半山,中兴御田清庭,,,
上城,半山,滨江沁语晓庭,,,
