District,Street,Community,Longitude,Latitude,AveragePrice,StdDeviationPrice,MaxPrice,MinPrice,2013AvgPrice,2014AvgPrice,2015AvgPrice,2016AvgPrice,2017AvgPrice,2018AvgPrice,2019AvgPrice,2020AvgPrice,2021AvgPrice,2022AvgPrice
上城,九堡,头格江景家园一区,120.305823,30.300677,24977.6,1797.632732,26811,21936,0,0,0,0,0,25421.5,24373.5,25298,0,0
临平,乔司,朗诗未来街区东园,120.303219,30.36286,26653.77358,2267.356192,31543,19413,0,0,0,0,22511.5,24667.25,26459.5,27667.19048,0,0
上城,九堡,头格江景家园二区,120.303049,30.301167,26320.55556,1524.346644,28932,23506,0,0,0,0,0,24635,26232.2,27029.66667,0,0
临平,乔司,朗诗未来街区,120.302722,30.363357,26665.44643,2802.38676,31250,13668,0,0,0,13802.5,21725.33333,26028.58333,26677.21277,27657.85417,0,0
临平,乔司,风景晨园,120.297371,30.368328,22169.96667,6238.243746,29023,11250,0,0,0,0,0,0,0,23350.6875,18562.71429,23078.42857
临平,乔司,东田怡丰城,120.297185,30.366807,20371.33333,3237.766343,28166,12494,0,0,0,0,0,0,20464.92,20233.70588,0,0
临平,乔司,乔司商贸苑,120.293124,30.34704,14217.19048,2243.303423,17331,8807,0,0,0,0,0,15456,13800.14286,14013.6,0,0
临平,乔司,佳兆业君汇上品,120.292797,30.333361,26201.09756,2487.741603,30114,20225,0,0,0,0,23991.75,24320.33333,26712.82353,27017,0,0
临平,乔司,紫晶时代,120.292032,30.347805,17634,0,17634,17634,0,0,0,0,0,0,0,17634,0,0
临平,乔司,兴安公寓,120.291944,30.349097,16713.6,833.8241062,17461,15618,0,0,0,0,0,0,0,16713.6,0,0
临平,乔司,新街社区,120.291395,30.349347,24104,0,24104,24104,0,0,0,0,0,0,0,24104,0,0
临平,乔司,丰惠家园,120.291216,30.354776,20865.4,2728.480696,24494,15391,0,0,0,0,0,22090,18943.5,20976.66667,21404.66667,0
临平,乔司,东冠逸家,120.290217,30.346407,21494.73684,3084.402712,26561,11784,0,0,0,11784,0,21946,21055,22812.75,0,0
临平,乔司,东冠逸景花苑,120.289344,30.345887,23712.27027,2557.77834,28505,16509,0,0,0,0,22165.4,23926.92308,22571.05556,24330.62963,24511.36364,0
临平,乔司,东城丽景,120.289297,30.354519,22737.4,2190.95036,27696,13194,0,0,0,13194,21739,23019.28571,22649.86667,23172.6,0,0
上城,九堡,泊林印象,120.286491,30.306964,32522.625,6762.49127,41715,13139,0,0,0,15299,28668.6,28090,35753.8,35835.07692,0,0
临平,乔司,复地连城国际,120.287281,30.334341,23800.94191,2552.983258,29860,12762,0,0,0,15752,20692.22222,24547.7193,23325.94805,24110.58763,0,0
上城,九堡,九月庭院,120.286927,30.304247,24394.43243,6103.395803,32653,10770,0,0,0,13966.8,20484.28571,29532.75,28013.16667,27804.6087,27969,27365.125
上城,九堡,郡原相江公寓,120.285899,30.298592,30679.80952,5644.733286,38372,15569,0,0,0,15569,24824.75,0,32131.25,33406.91667,0,0
上城,九堡,红苹果家园,120.285125,30.304019,25584.97674,5375.43627,32945,11112,0,0,0,13767.33333,21005.90909,27803.83333,28978.33333,26996.77778,29100.95455,27102
上城,九堡,滨江铂金海岸,120.284564,30.296545,39964.19048,6289.631987,49682,27549,0,0,0,0,0,0,38507.54545,40112,47384.5,0
上城,九堡,海景城花园,120.284046,30.298285,21597.07692,5734.93842,29075,10510,0,0,0,13586,20150,0,0,25650.57143,0,0
上城,九堡,昆盛肖邦,120.2833,30.313691,28607.27861,2779.066023,35227,22159,0,0,0,0,0,30167,28165.2125,28813.26761,28473.68421,31054.5
上城,九堡,德信金泊林公寓,120.282831,30.302891,27805.34783,7589.371462,38616,13704,0,0,15865,16533.5,30983.66667,35895,31862.58333,32902.21429,0,0
上城,九堡,中兴九洲芳园,120.282704,30.304032,27244.5,7176.955424,38841,12500,0,0,12500,17473.25,21612,31734.77778,30929.2,32465.53846,0,0
拱墅,长庆,三圣巷,120.28235,30.331421,34707.25,3431.709587,38462,29167,0,0,0,0,32683.5,0,0,36731,0,0
临平,乔司,阳光绿色雅苑,120.281297,30.346197,28701.59259,2839.669089,35648,23364,0,0,0,0,0,26700.75,27522.8,29584.5,29818,30914
上城,九堡,左邻右舍,120.280971,30.304934,27263.98387,6354.866153,39482,14345,0,0,0,18916,25093.66667,31057.88889,31336.11111,33264.55556,0,0
上城,九堡,金雅苑社区,120.280707,30.307828,27964.43478,3150.353238,33259,15341,0,0,0,0,25476.33333,28878.75,28424.78947,28698.42105,0,0
上城,九堡,圣奥领寓,120.280686,30.303159,28001.33929,7338.756162,37273,14773,0,0,15822,17239.18182,22583,32404,32563.11111,32552.64706,33852,34291.66667
上城,九堡,亿龙商务楼,120.279662,30.306872,17170,0,17170,17170,0,0,0,0,0,0,17170,0,0,0
上城,九堡,君合商务楼,120.27926,30.304666,15652,0,15652,15652,0,0,0,0,0,15652,0,0,0,0
临平,乔司,意法轻纺城,120.27894,30.322061,18230.75,1687.550302,20289,13526,0,0,0,0,0,0,19434.66667,17829.44444,0,0
上城,九堡,地铁东城广场,120.278529,30.311069,17268.25,2117.218857,18899,13629,0,0,0,0,0,18899,15986,18202,0,0
上城,九堡,蓝桥景苑,120.278461,30.307633,26144.83673,3101.732553,31183,15845,0,0,0,15845,23078.71429,26239.33333,26894.33333,26434.42857,27773.38462,25899
上城,九堡,康恒悦麒美寓,120.277601,30.296073,30788.77143,6433.357346,39571,15910,0,0,0,17302.5,25932.16667,36372,33279.25,34387.375,0,0
上城,九堡,蓝桥名苑,120.277564,30.30451,25916.51502,3115.903628,32986,15064,0,0,0,0,20687.88,28095.88889,25751.93103,26823.32653,26871.33333,25152.38462
上城,九堡,宋都阳光国际,120.274189,30.295068,28135.43662,6187.456302,35851,15169,0,0,0,17492.81818,25033.0625,33157,32276.5625,31550.8,0,0
上城,九堡,新江花园,120.273063,30.304546,26939.29464,4688.145262,34151,11258,0,0,0,13870.83333,21374.15385,28276.11111,28452.5,29108.59375,29506.4,26929.7
上城,九堡,鑫运时代金座,120.272785,30.30791,21672.32258,4148.85148,29580,14700,0,0,0,0,21149,0,20578.33333,22940.69231,21081.875,19595
上城,九堡,阳光景台公寓,120.272684,30.297649,28629,386,29015,28243,0,0,0,0,0,0,0,28629,0,0
上城,九堡,锦江半岛,120.27245,30.29682,24166.35,6360.265987,31019,12500,0,0,0,13147,14997.5,28280.2,24261,29272,26864.5,26575.5
上城,九堡,圆梦园,120.27243,30.29689,29218.28125,8668.899365,49550,11575,0,0,0,11575,19724.6,30869,37215.33333,30052.14286,34677.8,26415
上城,九堡,圆梦园锦江南苑,120.272398,30.295712,15925.4,5700.052266,26872,10764,0,0,0,12384.33333,15602,0,0,26872,0,0
临平,星桥,擎天半岛,120.271859,30.399907,21602.83333,1435.524343,23371,19403,0,0,0,0,0,0,0,21602.83333,0,0
上城,九堡,东华苑,120.270287,30.304518,26219.57143,4438.359152,31159,17094,0,0,0,17094,0,27128,26001,29104.33333,0,0
上城,九堡,罗兰春天,120.269883,30.326234,30662.7191,4216.763318,38471,14912,0,0,0,17805.5,25613,31146.77778,30438.68421,31320,32932.75,31789
临平,星桥,五月花城,120.269534,30.401452,18264.80556,3617.048642,24719,7109,0,0,0,0,11736,18511.33333,19313.2,18323.05882,21197,20506
上城,九堡,晨光绿苑北苑,120.2688,30.31121,24764,184,24948,24580,0,0,0,0,0,0,0,24764,0,0
上城,九堡,晨光绿苑南苑,120.2686,30.31125,25213.57143,2931.320807,30208,19718,0,0,0,0,0,25365,24975.33333,25401.33333,0,0
上城,九堡,香滨湾花园,120.268536,30.309295,29469.8,4436.717111,37778,11461,0,0,0,13639,26361.5,32262,28400.81818,30433.94118,31730.28571,29072.33333
临平,星桥,惠都家园,120.268148,30.397231,19716.15625,2155.056595,24512,10864,0,0,0,0,16362.625,20312.1,19580.57143,19662.05172,21073.15789,20120.2
上城,九堡,郡原九润公寓,120.26778,30.325353,32660.3,2969.504977,37403,25869,0,0,0,0,0,36236,32434,32241.625,0,0
临平,星桥,星桥桂花城,120.267633,30.396144,21648.78462,2650.766371,29310,8333,0,0,0,0,13906,21076,21914.38462,21912.02857,21433,24522.66667
上城,九堡,九堡东方公寓,120.26739,30.30921,24207.14286,2968.117269,28147,18920,0,0,0,0,0,22624,26110.33333,22831.66667,0,0
临平,星桥,星运丽园兰逸,120.265482,30.39484,18203.16667,5679.857214,26299,7504,0,0,0,7504,8196,20368.5,22984.5,19338.66667,0,0
上城,七堡,东都公寓,120.265181,30.302301,25273.35484,5452.150233,34486,11429,0,0,0,17098,20592.66667,27904,28544,28154.1,28116.6,27000
上城,九堡,大家多立方,120.264705,30.320165,32001.125,3759.807002,37502,18975,0,0,0,0,26615,32395.33333,31959.85714,32824.33333,0,0
临平,星桥,太平家园,120.263677,30.398664,19090.32432,2523.656293,25694,14143,0,0,0,0,0,19997.5,18116.3,18407,21680.16667,19501.5
上城,七堡,汇隆风林公寓,120.263253,30.30184,26542.5,4330.328027,32019,18000,0,0,0,19885,18000,0,29046.16667,26572.16667,0,0
临平,星桥,桂花星座,120.263184,30.384598,23019.33333,2347.467903,26038,17925,0,0,0,0,0,21825,22941.66667,23914.66667,23188,0
临平,星桥,星润大厦,120.262659,30.381852,16142,3362.660356,19048,11429,0,0,0,0,0,0,0,17949,19048,11429
临平,星桥,嘉和银领时代,120.261612,30.395666,20927.10345,2562.665037,24573,11800,0,0,0,0,0,19129.5,20266.18182,21960,0,0
临平,星桥,瑞金华庭嘉苑,120.26143,30.39798,20798.93878,3816.028037,28116,9537,0,0,0,10218,13393.5,18563,21995.77778,21963,0,0
临平,星桥,桐鹤名苑一区,120.261417,30.382506,17571.85714,1411.957449,18834,14900,0,0,0,0,0,0,17344,17609.83333,0,0
上城,九堡,海棠公寓,120.261267,30.318266,31988.34667,2808.508698,40323,17724,0,0,0,17724,26245,32616,31691.05263,31679.34615,33597.5,32753.33333
临平,星桥,学成府,120.260545,30.391113,21918.33333,1673.510548,23894,19802,0,0,0,0,0,0,0,0,21918.33333,0
临平,星桥,黄鹤山居,120.260144,30.399747,17362.47059,3716.49617,21866,8874,0,0,0,0,12890.25,18030,19122,17305,19211.33333,20779
上城,九堡,华鸿汇盛德堡,120.26001,30.314151,25226.28571,5695.177953,32859,15664,0,0,0,16989.5,21785,30899,29387,29995.6,0,0
上城,九堡,天阳九筑,120.259862,30.322298,35460.125,3324.03645,47416,29213,0,0,0,0,0,34661,35292.81818,35731.18182,35536.25,32022
临平,星桥,桐鹤名苑二区,120.259366,30.380337,17879.33333,413.265317,18353,17346,0,0,0,0,0,0,0,17879.33333,0,0
上城,南星,望江府,120.258815,30.39822,69615.58824,15055.36257,97944,36753,0,0,0,36753,57263,44944,72705,76034.375,0,0
上城,九堡,万科魅力之城,120.257184,30.319997,28166.5303,4195.431715,34227,12133,0,0,0,17125.5,21237.6,31266.8,30029.31818,28910.73333,0,0
临平,星桥,王家堰40号,120.257179,30.393226,14613,569.475636,15079,13676,0,0,0,0,0,0,15070.5,14155.5,0,0
上城,七堡,越秀亲爱里,120.256677,30.303372,39776.9,3697.091382,44569,33571,0,0,0,0,0,0,40663,39555.375,0,0
拱墅,和睦,和睦坊,120.256589,30.360478,33184.88889,5276.066516,39559,19958,0,0,0,0,19958,35081,32947.5,34348,35845.5,0
临平,星桥,绿城紫桂公寓,120.256576,30.398429,19903.46667,4300.566255,28257,1805,0,0,0,10364.5,13864.66667,22217.55556,20732.70588,21521.17143,0,0
临平,星桥,兴耀锦里,120.256464,30.388871,16461,632,17093,15829,0,0,0,0,0,0,0,16461,0,0
上城,七堡,招商武林郡,120.25638,30.305232,36903.48,3386.581995,46136,32386,0,0,0,0,0,0,0,36723.95,36629.25,41591
临平,星桥,瑞金华翠嘉苑,120.254791,30.394817,20763.09091,2538.627813,24832,15505,0,0,0,0,18339.5,0,22243.25,22021,0,0
临平,星桥,悦泽公寓,120.254351,30.387992,17894.47368,2843.693343,20953,8988,0,0,0,0,12461.5,15362.5,17718.71429,20159.5,19679.5,0
临平,星桥,经纬美耀湾,120.254067,30.397831,20263.05882,2938.985789,22874,9920,0,0,0,0,14015.5,20971.66667,19744,21588.22222,0,0
临平,星桥,美好桂花金座,120.253735,30.391037,19498.8,3133.294174,24662,8864,0,0,0,8864,11934,20862.5,19468.42857,20731,0,0
临平,星桥,星雅嘉园逸品苑,120.253702,30.38944,19003.57143,1424.425985,21035,16664,0,0,0,0,0,20732,18874,18636.25,0,0
临平,星桥,星雅嘉园逸景苑,120.253446,30.390145,17999,1433.999419,19446,14935,0,0,0,0,0,19446,18538,17157.33333,0,0
临平,星桥,瑞金华丽嘉苑,120.25342,30.392431,21316.1875,3239.039156,27505,15169,0,0,0,0,16029,20545.875,21146.33333,22425.9375,0,0
临平,星桥,华艺星座,120.253136,30.394214,21082.9375,1776.988638,24404,17242,0,0,0,0,0,20721.66667,21768.5,20715.33333,23225.33333,20698
临平,星桥,藕花洲大街西段623号,120.25247,30.39281,8433,760,9193,7673,0,0,0,0,0,0,0,8433,0,0
拱墅,三塘,香源公寓,120.252303,30.387376,28873.2,5215.071429,39615,12785,0,0,0,12899.5,22913.33333,30209,28717.15385,30150,32299.81818,0
临平,星桥,滨沁公寓,120.252159,30.388146,22604,0,22604,22604,0,0,0,0,0,0,0,22604,0,0
临平,星桥,通和十二橡树,120.251025,30.396186,23212.04651,5511.826405,36715,15347,0,0,0,0,15648,18367,21248.46154,23988.91304,35038,29318
临平,星桥,枫桥庭,120.250998,30.376424,21063.17647,1866.343743,23779,16037,0,0,0,0,0,19422.25,19612.5,21923.63636,0,0
临平,星桥,汤家锦绣公寓二期,120.250984,30.398636,18214.76471,2710.807684,22963,13134,0,0,0,0,13650.5,19453.66667,19237.25,18380,0,0
上城,南星,水岸枫庭,120.250532,30.375683,62436.29167,11783.22617,79545,38956,0,0,0,40674,57655,58043.66667,67897,66127.5,79545,0
临平,星桥,广厦天都城紫韵公寓,120.250316,30.379886,21706.20588,4096.54319,27258,6437,0,0,0,0,6437,18759.625,23485.83333,23188.52632,0,0
临平,星桥,广厦天都城天星苑,120.250205,30.381835,20675.72727,3823.387215,25375,8634,0,0,0,11858,17140.125,18415.6,22581.33333,22688.70588,0,0
