District,Street,Community,Coordinates,AvgPrice,StdPrice,MaxPrice,MinPrice,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12
上城,南星,凤凰北苑,"120.180439,30.220756",43213.25806451613,10651.904737947385,58793.0,19608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26588.0,26555.0,0.0,0.0,23240.333333333332,0.0,23398.0,22039.0,0.0,0.0,0.0,31995.0,0.0,25520.0,0.0,0.0,0.0,0.0,0.0,31202.0,42415.0,0.0,0.0,0.0,0.0,0.0,50962.0,0.0,0.0,0.0,0.0,34286.0,46412.0,0.0,0.0,0.0,46673.0,50656.0,0.0,46503.5,48854.5,0.0,0.0,0.0,43233.333333333336,45816.0,0.0,0.0,53738.5,0.0,49872.333333333336,48045.0,53009.0,50264.666666666664,49465.166666666664,49530.0,52794.666666666664,48962.0,0.0,0.0,41460.0,0.0,0.0,0.0,0.0,0.0,0.0,49057.0,0.0,0.0,55686.0,0.0,40146.0,0.0,0.0,0.0,50000.0,43657.0,0.0,0.0,0.0,0.0
上城,南星,凤凰南苑,"120.177642,30.218965",42364.74257425743,8077.689232674936,56500.0,17273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25205.0,0.0,0.0,18313.0,0.0,22475.0,0.0,26346.0,0.0,22884.0,27235.0,24549.0,0.0,0.0,0.0,32634.0,0.0,31180.5,0.0,37890.0,40145.0,0.0,0.0,0.0,0.0,0.0,0.0,46274.0,0.0,0.0,0.0,37580.0,48371.5,0.0,48647.5,0.0,43479.0,0.0,38871.0,44185.0,40510.0,0.0,36641.0,35734.0,0.0,47583.0,0.0,0.0,43455.75,0.0,40579.0,43137.88888888889,42661.6,43899.75,46876.71428571428,43710.75,47525.0,44411.4,40509.0,46435.666666666664,46358.0,40568.0,0.0,48913.8,0.0,0.0,54396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52911.0,0.0,0.0,50296.0,46809.0,44190.5,0.0,0.0,0.0,0.0,0.0
上城,南星,滨江钱塘印象,"120.187391,30.222832",61206.666666666664,11515.258061468801,71518.0,45135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66967.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71518.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
上城,南星,闻潮尚庭,"120.187797,30.229953",61441.166666666664,12169.328189482498,79365.0,33628.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40625.0,0.0,0.0,0.0,60317.0,63730.5,0.0,56818.0,59024.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60481.5,0.0,49841.0,0.0,65079.333333333336,0.0,0.0,0.0,0.0,79365.0,72135.5,0.0,0.0,0.0,0.0,0.0,0.0,79365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33628.0,0.0,0.0,0.0,0.0,0.0,0.0
上城,南星,凤凰城广场,"120.178484,30.218326",21632.85714285714,4021.4522523196856,35577.0,13823.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13823.0,0.0,0.0,0.0,0.0,16953.0,0.0,0.0,0.0,0.0,35577.0,0.0,0.0,19231.0,0.0,0.0,0.0,16347.0,21356.0,20353.0,0.0,0.0,20484.0,0.0,0.0,0.0,20737.0,22274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23451.333333333332,0.0,0.0,0.0,0.0,0.0,22048.0,0.0,22810.0,21937.5,22571.666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
上城,南星,金色海岸,"119.706174,30.233621",69222.84210526316,17109.91594388027,117689.0,40484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56858.0,0.0,0.0,0.0,0.0,40484.0,0.0,0.0,61284.0,75893.0,0.0,0.0,0.0,0.0,0.0,0.0,48780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56818.0,0.0,0.0,63902.0,0.0,0.0,57667.5,0.0,0.0,0.0,0.0,0.0,72990.0,91464.33333333333,75040.75,60221.0,88113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
上城,南星,钱江国际商务中心,"120.175362,30.215801",20279.88888888889,2796.038246616668,27400.0,16884.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18696.0,0.0,0.0,0.0,0.0,0.0,18987.0,0.0,0.0,0.0,0.0,0.0,27400.0,19958.0,0.0,0.0,0.0,0.0,0.0,16884.0,0.0,21664.0,19985.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
上城,南星,海运国际大厦,"120.176563,30.214207",23154.5,3916.5059364183276,27946.0,19228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27946.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19228.0,0.0,0.0,0.0,0.0,0.0,26084.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
上城,南星,太和广场,"120.177943,30.214747",35532.8125,10783.561698360321,49275.0,19486.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21148.0,0.0,21583.0,20931.0,0.0,0.0,0.0,0.0,20805.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36465.0,0.0,0.0,0.0,40507.0,0.0,0.0,0.0,31492.0,0.0,45581.0,0.0,48035.0,0.0,0.0,0.0,41139.0,0.0,0.0,0.0,47638.0,0.0,39116.0,0.0,0.0,0.0,0.0,0.0,0.0,48036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
上城,南星,秋涛路,"120.17775,30.22138",37452.0,10821.615128990681,46517.0,22241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45057.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
