Market,Longitude,Latitude
3.0,120.180439,30.220756
3.0,120.177642,30.218965
3.0,120.187391,30.222832
3.0,120.187797,30.229953
3.0,120.175362,30.215801
3.0,120.176563,30.214207
3.0,120.22242,30.281974
3.0,120.183592,30.228063
3.0,120.258815,30.39822
3.0,120.250532,30.375683
3.0,120.182326,30.226009
3.0,120.179318,30.221831
3.0,120.19122,30.226505
3.0,120.18183,30.216406
3.0,120.178445,30.220863
3.0,120.20542,30.286064
3.0,120.194251,30.277921
3.0,120.203024,30.285271
3.0,120.197143,30.279106
3.0,120.189179,30.283116
5.0,120.192259,30.277223
3.0,120.190673,30.281168
3.0,120.188049,30.281936
3.0,120.192569,30.281572
3.0,120.185704,30.281271
5.0,120.187238,30.279632
3.0,120.189746,30.277574
3.0,120.195378,30.283037
3.0,120.201328,30.283729
3.0,120.192709,30.276051
3.0,120.193341,30.283292
3.0,120.200355,30.284738
3.0,120.200614,30.353854
5.0,120.186255,30.373654
3.0,120.132472,30.368977
3.0,120.190623,30.352347
3.0,120.13255,30.37172
3.0,120.137061,30.369817
5.0,120.185307,30.373693
3.0,120.184115,30.350898
3.0,120.183203,30.348395
3.0,120.18865,30.35223
3.0,120.189761,30.350727
5.0,120.187072,30.349753
5.0,120.13997,30.354623
3.0,120.198874,30.352118
5.0,120.188918,30.349089
5.0,120.182526,30.345473
3.0,120.146528,30.356147
3.0,120.195667,30.353045
3.0,120.173382,30.343051
3.0,120.148951,30.339841
5.0,120.197459,30.351349
3.0,120.139066,30.371536
3.0,120.174084,30.343397
3.0,120.172366,30.345409
5.0,120.207473,30.35922
3.0,120.201959,30.357099
3.0,120.204845,30.355493
3.0,120.150808,30.333091
5.0,120.163542,30.335219
3.0,120.162366,30.333716
3.0,120.178343,30.264147
3.0,120.17486,30.260407
5.0,120.177582,30.261266
3.0,120.178613,30.261259
3.0,120.177405,30.258344
5.0,120.177397,30.262765
3.0,120.175592,30.259452
3.0,120.178878,30.263788
3.0,120.177438,30.259274
3.0,120.173843,30.261557
2.0,120.17477,30.263104
3.0,120.172131,30.260263
3.0,120.175103,30.26411
3.0,120.176294,30.263989
5.0,120.176837,30.261176
3.0,120.174528,30.259435
5.0,120.28235,30.331421
5.0,120.175316,30.264026
3.0,120.17739,30.258847
3.0,120.177679,30.260284
3.0,120.177977,30.261744
5.0,120.178386,30.260702
3.0,120.17806,30.263337
3.0,120.17456,30.261087
5.0,120.168241,30.291377
5.0,120.169307,30.277275
3.0,120.161879,30.295116
3.0,120.163964,30.296009
3.0,120.156359,30.28916
3.0,120.159861,30.291025
3.0,120.170943,30.283304
3.0,120.230573,30.367344
5.0,120.16072,30.292771
3.0,120.166994,30.275952
3.0,120.160703,30.286654
3.0,120.170151,30.286546
3.0,120.156767,30.286725
3.0,120.166255,30.287259
3.0,120.158682,30.287338
3.0,120.166542,30.295206
3.0,120.16847,30.277132
3.0,120.164262,30.281322
3.0,120.163508,30.285057
3.0,120.164701,30.282092
3.0,120.168003,30.288908
3.0,120.163214,30.282682
2.0,120.170465,30.291107
2.0,120.160426,30.289813
3.0,120.154416,30.291095
3.0,120.156362,30.290076
3.0,120.167978,30.266113
3.0,120.167186,30.278024
3.0,120.166278,30.278124
6.0,120.162121,30.29
5.0,120.16748,30.280324
5.0,120.169077,30.276375
3.0,120.168383,30.279081
5.0,120.165898,30.284672
3.0,120.161718,30.282104
3.0,120.173111,30.264554
3.0,120.180144,30.263994
5.0,120.186494,30.25746
2.0,120.183723,30.248627
3.0,120.184346,30.249493
3.0,120.18602,30.251027
3.0,120.181691,30.247571
3.0,120.181868,30.248327
3.0,120.18451,30.258921
3.0,120.180511,30.248761
3.0,120.181983,30.257571
5.0,120.183799,30.259871
3.0,120.184255,30.263648
3.0,120.184048,30.25225
3.0,120.182496,30.262778
5.0,120.1864,30.261077
3.0,120.181361,30.253676
3.0,120.180715,30.251524
3.0,120.185157,30.254614
3.0,120.181707,30.256359
6.0,120.185339,30.25078
2.0,120.1815,30.263347
3.0,120.184887,30.259758
3.0,120.183625,30.259487
3.0,120.186529,30.253779
5.0,120.184494,30.260881
3.0,120.18123,30.260282
5.0,120.180663,30.25407
3.0,120.182077,30.256975
3.0,120.183583,30.255063
3.0,120.182052,30.260683
3.0,120.185459,30.261047
5.0,120.142379,30.299125
3.0,120.182439,30.263783
3.0,120.159415,30.307207
3.0,120.185056,30.256504
3.0,120.18509,30.263167
3.0,120.179755,30.251686
3.0,120.180109,30.255959
3.0,120.186338,30.254771
3.0,120.183248,30.250671
5.0,120.140548,30.398737
5.0,120.138683,30.400939
3.0,120.204199,30.404567
3.0,120.175208,30.382294
3.0,120.145604,30.280645
3.0,120.173348,30.386493
3.0,120.165443,30.376579
3.0,120.167938,30.38104
3.0,120.165251,30.383144
3.0,120.136025,30.383332
3.0,120.173806,30.380258
3.0,120.169484,30.38194
3.0,120.172549,30.378764
3.0,120.162651,30.381424
3.0,120.162837,30.384121
3.0,120.176113,30.384282
5.0,120.160056,30.302006
3.0,120.157291,30.304124
3.0,120.154616,30.308532
3.0,120.155781,30.309719
5.0,120.156983,30.301824
3.0,120.155144,30.304195
3.0,120.154851,30.305651
3.0,120.156426,30.304471
5.0,120.159701,30.303677
3.0,120.153516,30.306473
3.0,120.159508,30.300343
3.0,120.157314,30.306103
3.0,120.15587,30.309021
3.0,120.152179,30.308117
3.0,120.153336,30.304671
3.0,120.153296,30.308844
3.0,120.1513,30.305853
1.0,120.1583,30.29912
3.0,120.154578,30.308145
3.0,120.160579,30.299835
3.0,120.158532,30.307705
3.0,120.151874,30.308701
3.0,120.151508,30.307382
