Market,Longitude,Latitude
8.0,120.180439,30.220756
4.0,120.177642,30.218965
4.0,120.187391,30.222832
8.0,120.187797,30.229953
2.0,120.175362,30.215801
4.0,120.176563,30.214207
2.0,120.22242,30.281974
2.0,120.183592,30.228063
2.0,120.258815,30.39822
4.0,120.250532,30.375683
2.0,120.182326,30.226009
4.0,120.179318,30.221831
2.0,120.19122,30.226505
4.0,120.18183,30.216406
8.0,120.178445,30.220863
2.0,120.20542,30.286064
1.0,120.194251,30.277921
2.0,120.203024,30.285271
8.0,120.197143,30.279106
8.0,120.189179,30.283116
8.0,120.192259,30.277223
8.0,120.190673,30.281168
8.0,120.188049,30.281936
8.0,120.192569,30.281572
8.0,120.185704,30.281271
8.0,120.187238,30.279632
1.0,120.189746,30.277574
8.0,120.195378,30.283037
4.0,120.201328,30.283729
8.0,120.192709,30.276051
8.0,120.193341,30.283292
8.0,120.200355,30.284738
5.0,120.200614,30.353854
8.0,120.186255,30.373654
8.0,120.132472,30.368977
8.0,120.190623,30.352347
4.0,120.13255,30.37172
8.0,120.137061,30.369817
2.0,120.185307,30.373693
1.0,120.184115,30.350898
8.0,120.183203,30.348395
8.0,120.18865,30.35223
8.0,120.189761,30.350727
8.0,120.187072,30.349753
8.0,120.13997,30.354623
8.0,120.198874,30.352118
8.0,120.188918,30.349089
8.0,120.182526,30.345473
4.0,120.146528,30.356147
4.0,120.195667,30.353045
4.0,120.173382,30.343051
4.0,120.148951,30.339841
8.0,120.197459,30.351349
4.0,120.139066,30.371536
2.0,120.174084,30.343397
2.0,120.172366,30.345409
2.0,120.207473,30.35922
2.0,120.201959,30.357099
2.0,120.204845,30.355493
2.0,120.150808,30.333091
8.0,120.163542,30.335219
4.0,120.162366,30.333716
8.0,120.178343,30.264147
8.0,120.17486,30.260407
8.0,120.177582,30.261266
4.0,120.178613,30.261259
4.0,120.177405,30.258344
4.0,120.177397,30.262765
5.0,120.175592,30.259452
2.0,120.178878,30.263788
8.0,120.177438,30.259274
8.0,120.173843,30.261557
8.0,120.17477,30.263104
8.0,120.172131,30.260263
8.0,120.175103,30.26411
2.0,120.176294,30.263989
8.0,120.176837,30.261176
1.0,120.174528,30.259435
8.0,120.28235,30.331421
8.0,120.175316,30.264026
4.0,120.17739,30.258847
8.0,120.177679,30.260284
8.0,120.177977,30.261744
8.0,120.178386,30.260702
8.0,120.17806,30.263337
4.0,120.17456,30.261087
8.0,120.168241,30.291377
8.0,120.169307,30.277275
1.0,120.161879,30.295116
