District,Street,Community,AvgPrice,2019/3/1,2019/4/1,2019/5/1,2019/6/1,2019/7/1,2019/8/1,2019/9/1,2019/10/1,2019/11/1,2019/12/1,2020/1/1,2020/2/1,2020/3/1,2020/4/1,2020/5/1,2020/6/1,2020/7/1,2020/8/1,2020/9/1,2020/10/1,2020/11/1,2020/12/1,2021/1/1,2021/2/1,2021/3/1,2021/4/1,2021/5/1,2021/6/1,2021/7/1,2021/8/1,2021/9/1,2021/10/1,2021/11/1,2021/12/1,2022/1/1,2022/2/1,2022/3/1,2022/4/1,2022/5/1,2022/6/1,2022/7/1,2022/8/1,2022/9/1,Market1Distance,Market2Distance,Market3Distance,Market4Distance,Market5Distance,Market6Distance,Market7Distance,Market8Distance,MinDistance,Longitude,Latitude
上城,南星,凤凰北苑,43213.25806,46673.0,50656.0,47726.17405783067,46503.5,48854.5,48146.91683230326,48281.397382645235,48411.900853998995,43233.33333,45816.0,48772.987443648446,48881.02124856679,53738.5,49074.659460666706,49872.33333,48045.0,53009.0,50264.66667,49465.16667,49530.0,52794.66667,48962.0,49446.03161290453,49423.66745388378,41460.0,49332.88887636822,49263.16218777688,49176.335719232164,49071.75333568581,48948.75890208956,48806.69628339515,49057.0,48462.74195051883,48259.53796624041,55686.0,47787.39568676172,40146.0,47223.233425732215,46905.00446451525,46561.80210276581,50000.0,43657.0,45375.793263839994,54.06932373,46.80811345,35.21980534,107.2829438,27.34527616,44.14244213,58.33282671,41.08706786,0.027345276,120.180439,30.220756
上城,南星,凤凰南苑,42364.74257,44185.0,40510.0,41020.673418328224,36641.0,35734.0,40497.60570202894,47583.0,40614.82561437745,40792.87613375156,43455.75,41353.960042625244,40579.0,43137.88889,42661.6,43899.75,46876.71429,43710.75,47525.0,44411.4,40509.0,46435.66667,46358.0,40568.0,48137.530076858566,48913.8,49087.42812954813,49498.767135211776,54396.0,50160.32684890252,50396.98825441992,50561.86449071221,50648.17590652452,50649.142850602024,50557.98567168985,50367.92471853315,52911.0,49663.97288446678,49136.5227010474,50296.0,46809.0,44190.5,45698.701662182066,44473.34306989452,55.03861856,50.09257016,35.70135474,106.7484989,27.54250232,47.1969597,59.33497062,44.40554534,0.027542502,120.177642,30.218965
上城,南星,滨江钱塘印象,61206.66667,66266.84615384613,66616.92307692305,66967.0,67317.0769230769,67667.15384615383,68017.23076923075,68367.30769230767,68717.3846153846,69067.46153846152,69417.53846153844,69767.61538461538,70117.6923076923,70467.76923076922,70817.84615384614,71167.92307692306,71518.0,71868.07692307691,72218.15384615384,72568.23076923077,72918.30769230769,73268.38461538461,73618.46153846153,73968.53846153845,74318.61538461538,74668.69230769231,75018.76923076923,75368.84615384616,75718.92307692308,76069.0,76419.07692307692,76769.15384615386,77119.23076923078,77469.3076923077,77819.38461538462,78169.46153846155,78519.53846153847,78869.6153846154,79219.69230769233,79569.76923076925,79919.84615384617,80269.92307692309,80620.00000000001,80970.07692307694,54.64340569,40.33944874,37.21228636,110.6715031,30.17032105,38.86152788,58.78139923,34.28174373,0.030170321,120.187391,30.222832
上城,南星,闻潮尚庭,61441.16667,60317.0,63730.5,58553.80503372007,56818.0,59024.5,53252.890808711905,52556.91851196416,52325.16984231679,52514.87924255354,53083.28115545815,53987.610023814355,55185.100290405884,60481.5,58288.50278942988,49841.0,62051.36419480005,65079.33333,66131.56004878628,68183.74450096977,70186.96589365847,72098.45866963615,79365.0,72135.5,76854.90972514034,77971.83246211126,78783.1987962898,79246.24317045974,79318.20002740482,78956.30380990874,79365.0,76759.88992272815,74839.84113861108,72314.87705118784,69142.23210324215,65279.140737557726,60682.83739691832,55310.5565241077,49119.532561909524,42066.99995310766,33628.0,25206.346566827495,15312.694674916675,4386.471907537125,48.4769425,35.26211361,32.19814127,106.1686288,26.08814146,32.43152173,52.52441685,29.96203952,0.026088141,120.187797,30.229953
上城,南星,钱江国际商务中心,20279.88889,14930.184157404248,18987.0,22187.588354727453,24155.20979043304,25208.5857740102,25492.57254784061,25152.026354305952,27400.0,19958.0,21831.75239332844,20441.63675415037,19151.269359515645,18105.506451805977,17449.20427340301,16884.0,17884.407074043993,21664.0,19985.0,25079.57280434799,29802.016091800717,35927.91380523197,43602.1221870234,52969.49747955671,64174.89592521361,77363.1737663757,92679.18724542469,110267.79260474238,130273.84608671037,152842.20393371023,178117.7223881238,206245.25769233273,237369.66608871875,271635.8038196634,309188.5271275484,350172.6922547556,394733.1554436666,443014.77293666283,495162.4009761263,551320.8958044387,611635.1136639817,676249.9107971365,745310.1434462853,818960.6678538098,57.63386967,53.89479664,37.94361989,107.7065971,29.59976544,51.09658107,61.94809642,48.10299393,0.029599765,120.175362,30.215801
上城,南星,海运国际大厦,23154.5,8944.00000000001,10086.666666666675,11229.333333333341,12372.000000000007,13514.666666666673,14657.33333333334,15800.000000000005,16942.66666666667,18085.333333333336,19228.0,20370.66666666667,21513.333333333336,22656.0,23798.666666666668,24941.333333333336,26084.0,27226.666666666664,28369.33333333333,29512.0,30654.666666666664,31797.33333333333,32939.99999999999,34082.666666666664,35225.33333333333,36367.99999999999,37510.66666666666,38653.33333333333,39795.99999999999,40938.66666666666,42081.33333333332,43223.99999999999,44366.66666666666,45509.33333333332,46651.999999999985,47794.66666666665,48937.33333333332,50079.999999999985,51222.66666666665,52365.33333333332,53507.999999999985,54650.66666666665,55793.333333333314,56935.99999999998,59.43479656,54.09995024,39.82130014,109.701211,31.50516683,51.7447606,63.74498325,48.12479864,0.031505167,120.176563,30.214207
上城,南星,钱江候潮府,71911.8,57083.0,62044.0,75254.0,74646.46512186728,79710.0,77965.49516953468,72034.0,77242.76654086087,76036.21677908594,76565.5,73273.69447303987,72254.10117372072,71833.20594017206,72279.1983948699,75424.0,75472.0,81500.39811320219,88095.83754564576,96899.1127787157,108178.41343488799,122201.92913663856,139237.84950644342,159554.36416677854,183419.66274011988,211101.9348489435,242869.37011572515,278990.15816294105,319732.48861306696,365364.55108857906,416154.5352119531,472370.6306056653,534281.0268921913,602153.9136940077,676257.4806335898,756859.9173334136,844229.4134159557,938634.1585036913,1040342.3422190971,1149622.1541846483,1266741.7840228216,1391969.4213560927,1525573.2558069373,1667821.4769978314,58.88480663,31.00024984,65.17420408,116.1625585,68.41492122,30.10471671,58.90590725,38.52240224,0.030104717,120.22242,30.281974
上城,南星,康都紫轩,56779.44828,43812.0,49584.322013272635,54083.00053259773,57667.551981910314,56239.0,67535.0,64318.0,64630.07659947837,64968.184839060545,66472.0,67115.0,64028.926178617745,63358.910418814194,52664.0,57416.0,62101.0,68729.4,62210.66667,64796.66667,62735.14608327956,64286.29717376752,63889.0,69501.58932592387,73342.28933963654,78122.73127980172,83931.19462244162,90855.9588435783,98985.30341923394,108407.50782543072,119210.85153819073,131483.6140335361,145314.07478748905,160790.51327607167,178001.2089753061,197034.44136121456,217978.48990981915,240921.63409714188,265952.1533992052,293158.3272920309,322628.43525164144,354450.7567540587,388713.5712753051,425505.1582914027,48.31344377,39.75130615,30.75223351,104.314024,23.83175717,36.33357754,52.48235408,34.55962206,0.023831757,120.183592,30.228063
上城,南星,望江府,69615.58824,68771.28136708643,70121.11524055812,71666.5,71714.0,72999.00175301991,73629.61785807935,74126.82374870317,74509.17711595837,74795.23565091191,74734.5,75152.698988182,75261.21917263251,76934.33333,75430.62502849934,74157.0,74827.0,76830.5,76098.51403797184,76442.29725859294,76893.9202486492,77471.9406992076,78194.91630133514,79081.40474609875,80149.96372456546,81419.15092780226,82907.52404687607,84633.64077285393,86616.05879680281,88873.33580978969,91424.02950288155,94286.69756714534,97479.89769364812,101022.18757345679,104932.12489763836,109228.26735725986,113929.1726433882,119053.39844709038,124619.50245943344,130646.04237148429,137151.57587430993,144154.66065897737,151673.85441655357,159727.71483810554,157.3762212,152.7339035,173.8902514,180.5895134,180.3662114,150.6541152,154.3216842,160.2275623,0.150654115,120.258815,30.39822
上城,南星,水岸枫庭,62436.29167,65043.604089501874,65311.1473406517,65554.49718249372,65777.0485743003,62727.0,69319.0,66353.86164223062,66527.16882661876,69771.0,66865.70719364611,64773.0,67216.1106201572,66307.5,68288.8,73750.0,50701.5,79545.0,68610.10799838022,68928.07775233591,69279.56840461362,69667.97491448568,70096.69224122442,70569.11534410222,71088.63918239139,71658.65871536429,72282.56890229325,72963.76470245063,73705.64107510875,74511.59297953996,75385.0153750166,76329.30322081104,77347.85147619559,78444.0551004426,79545.0,80883.00829261336,82232.54777908181,83673.32247150209,85208.72732914652,86842.15731128749,88577.00737719731,90416.67248614832,92364.5475974129,94424.02767026333,134.5578258,128.7826668,150.5569392,161.9713632,156.8554604,126.646347,131.6715105,136.284095,0.126646347,120.250532,30.375683
